Nombre,Tipo,Latitud,Longitud
Belén,Albergue,,
Ejército de Salvación,Albergue,,
Jesús El Buen Pastor,Albergue,,
Albergue Infantil La Esperanza,Albergue,,
Jesús Esperanza en el Camino,Albergue,,
Una Ayuda Para Ti Mujer Migrante,Albergue,,
San Martín de Porres,Albergue,,
Jtatic Samuel Ruíz García,Albergue,,
Hogar de la Misericordia,Albergue,,
La 72,Albergue,,
El Santuario,Albergue,,
Hermanos en el Camino,Albergue,,
Ruchagalú,Albergue,,
COMI,Albergue,,
Diócesis de Coatzacoalcos,Albergue,,
Mons. Guillermo Ranzahuer,Albergue,,
Decanal Guadalupano,Albergue,,
Comedor Las Patronas,Comedor,,
La Sagrada Familia,Albergue,,
Casa de Atención a Desamparados,Albergue,,
Parroquia de la Asunción,Albergue,,
Parroquia de San Felipe Hueyotlipan,Albergue,,
Casa Tochán,Albergue,,
Casa de los Amigos,Albergue,,
Casa Mambré,Albergue,,
CAFEMIN,Albergue,,
Un Oasis en Medio del Camino,Albergue,,
San Juan Diego,Albergue,,
Casa del Peregrino Migrante,Albergue,,
Comedor El Samaritano,Comedor,,
González y Martínez,Albergue,,
Comedor CAMMI,Comedor,,
ABBA,Albergue,,
Manos Extendidas,Albergue,,
San Carlos Borromeo,Albergue,,
San Juan de Dios,Albergue,,
Galilea,Albergue,,
Casa de la Caridad Hogar del Migrante,Albergue,,
Casa del Migrante,Albergue,,
Centro de Día Jesús Torres,Albergue,,
Posada del Peregrino Cáritas,Albergue,,
Ejército de Salvación (Piedras Negras),Albergue,,
Frontera Digna,Albergue,,
Emmaus,Albergue,,
Casanicolás,Albergue,,
Casa Indi,Albergue,,
Comedor Casa Monarca,Comedor,,
Nazareth,Albergue,,
Nuestra Señora de Guadalupe (Reynosa),Albergue,,
Senda de Vida,Albergue,,
San Juan Diego y San Francisco de Asís,Albergue,,
Camino a la Vida,Albergue,,
Sembrando Esperanza,Albergue,,
FM4 Paso Libre,Albergue,,
El Refugio,Albergue,,
Obsidiana,Albergue,,
Casa de la Esperanza San José,Albergue,,
Comedor Amigos de San José y María,Comedor,,
Cáritas Mazatlán,Albergue,,
Una Gota en el Océano,Albergue,,
Uno de Siete Migrando,Albergue,,
Madre Teresa de Calcuta,Albergue,,
Casa del migrante Juárez,Albergue,,
Comedor San Luis Gonzaga,Comedor,,
CAMDEP KINO,Albergue,,
San Juan Bosco,Albergue,,
Casa Nazareth Mujeres,Albergue,,
CAM Exodus,Albergue,,
Centro de Recursos para Migrantes,Albergue,,
Casas YMCA de menores migrantes (Agua Prieta),Albergue,,
CCAMYN,Albergue,,
Comedor CCAM Caborca,Comedor,,
La Divina Providencia,Albergue,,
Nuestra Señora de Guadalupe (Tecate),Albergue,,
San Vicente,Albergue,,
Alfa y Omega,Albergue,,
Hotel de los Migrantes Ángeles sin Fronteras,Albergue,,
Casa Betania Diócesis de Mexicali,Albergue,,
Centro Pastoral Maná,Albergue,,
Comedor Cobina,Comedor,,
El Camino a un Nuevo Amanecer,Albergue,,
Grupo de Ayuda para el Migrante,Albergue,,
Juvenil del Desierto Menores Migrantes,Albergue,,
Casa de Oración del Migrante,Albergue,,
Casa del Deportado Sagrado Corazón,Albergue,,
Casa del Migrante en Tijuana,Albergue,,
Casa Puerta de Esperanza,Albergue,,
Ejército de Salvación (Tijuana),Albergue,,
La Viña de Tijuana,Albergue,,
Madre Assunta,Albergue,,
Movimiento Juventud 2000,Albergue,,
Desayunador Padre Chava,Comedor,,
Roca de Salvación,Albergue,,
Templo Embajadores de Jesús,Albergue,,
Volviendo a la Patria,Albergue,,
Casas YMCA de menores migrantes (Tijuana),Albergue,,
