id_municipio,Nombre,Tipo,Latitud,Longitud
7089,Belén (Casa del Migrante Tapachula),Albergue,14.887187,-92.2441517
7089,Ejército de Salvación (Tapachula),Albergue,14.9202606,-92.2524233
7089,Jesús El Buen Pastor,Albergue,14.8766423,-92.307416
7089,Albergue Infantil La Esperanza,Albergue,14.9067037,-92.259212
7101,Jesús Esperanza en el Camino,Albergue,16.7409097,-93.1195536
7101,Una Ayuda Para Ti Mujer Migrante,Albergue,16.7432562,-93.1223196
7078,San Martín de Porres,Albergue,16.7379825,-92.6469981
7065,Jtatic Samuel Ruíz García,Albergue,17.5451071,-91.9947052
7009,Hogar de la Misericordia,Albergue,16.2260654,-93.9035253
27017,La 72,Albergue,17.461921,-91.4309629
27012,El Santuario,Albergue,17.63016,-92.539515
21084,Hermanos en el Camino,Albergue,16.5488661,-95.1028597
20057,Ruchagalú,Albergue,16.8926596,-95.0403417
20067,COMI,Albergue,17.0634243,-96.7344282
30039,Diócesis de Coatzacoalcos,Albergue,18.1267827,-94.4515469
30116,Mons. Guillermo Ranzahuer,Albergue,17.9326714,-94.9017573
30116,Decanal Guadalupano,Albergue,18.4373695,-96.3491559
30014,Comedor Las Patronas,Comedor,18.8244371,-96.9232991
29005,La Sagrada Familia,Albergue,19.4173196,-98.1316175
21114,Casa de Atención a Desamparados,Albergue,19.0724433,-98.21049
21114,Parroquia de la Asunción,Albergue,19.0629875,-98.2280542
21114,San Felipe Hueyotlipan,Albergue,19.0862736,-98.2116362
9010,Casa Tochán,Albergue,19.3983709,-99.1949275
9015,Casa de los Amigos,Albergue,19.4381105,-99.1545271
9015,Casa Mambré,Albergue,19.450889,-99.136694
9005,CAFEMIN,Albergue,19.463706,-99.1302244
15010,Un Oasis en Medio del Camino,Albergue,19.9778829,-99.1829096
15035,San Juan Diego,Albergue,19.8433522,-99.1909054
13029,Casa del Peregrino Migrante,Albergue,20.3685143,-99.6923611
13015,Comedor El Samaritano,Comedor,20.0463236,-99.2416682
22017,González y Martínez,Albergue,20.5091637,-99.8629694
16072,CAMMI,Comedor,20.6012122,-100.3847198
1100,ABBA,Albergue,20.5410665,-100.8018514
1100,Manos Extendidas,Albergue,20.5275921,-100.8030577
11027,San Carlos Borromeo,Albergue,20.555229,-101.201472
11017,San Juan de Dios,Albergue,20.6999054,-101.3497854
11020,Galilea,Albergue,21.1079366,-101.6835742
24028,Casa de la Caridad Hogar del Migrante,Albergue,22.1647841,-100.9701881
24028,Casa del Migrante Saltillo,Albergue,25.4040977,-101.0248526
5035,Centro de Día Jesús Torres,Albergue,25.4985795,-103.3996323
5035,Posada del Peregrino Cáritas de Torreón,Albergue,25.5398529,-103.3974238
5025,Ejército de Salvación en Piedras Negras,Albergue,28.708685,-100.5215919
5025,Frontera Digna,Albergue,28.7049032,-100.5218564
5002,Emmaus,Albergue,29.3115351,-100.9228339
19039,Casanicolás,Albergue,25.6642132,-100.2144739
19039,Casa Indi,Albergue,25.6987509,-100.3259542
19048,Comedor Casa Monarca,Comedor,25.6694542,-100.4617468
28027,Nazareth,Albergue,27.4875118,-99.4848195
28032,Nuestra Señora de Guadalupe (Reynosa),Albergue,26.097071,-98.2868182
28032,Senda de Vida,Albergue,26.0998877,-98.2845526
8044,San Juan Diego y San Francisco de Asís,Albergue,25.8370289,-97.4860038
1001,Albergue,21.8859981,-102.3075858
8028,Sembrando Esperanza,Albergue,22.7640846,-102.658088
14039,FM4 Paso Libre,Albergue,20.6674382,-103.379065
14098,El Refugio,Albergue,20.6012698,-103.3495971
18006,Obsidiana,Albergue,21.0393064,-104.3709025
18017,Casa de la Esperanza San José,Albergue,21.5107421,-104.8885511
