Nombre,Tipo,Latitud,Longitud
Belén (Casa del Migrante Tapachula),Albergue,14.887187,-92.2441517
Ejército de Salvación (Tapachula),Albergue,14.9202606,-92.2524233
Jesús El Buen Pastor,Albergue,14.8766423,-92.307416
Albergue Infantil La Esperanza,Albergue,14.9067037,-92.259212
Jesús Esperanza en el Camino,Albergue,16.7409097,-93.1195536
Una Ayuda Para Ti Mujer Migrante,Albergue,16.7432562,-93.1223196
San Martín de Porres,Albergue,16.7379825,-92.6469981
Jtatic Samuel Ruíz García,Albergue,17.5451071,-91.9947052
Hogar de la Misericordia,Albergue,16.2260654,-93.9035253
La 72,Albergue,17.461921,-91.4309629
El Santuario,Albergue,17.63016,-92.539515
Hermanos en el Camino,Albergue,16.5488661,-95.1028597
Ruchagalú,Albergue,16.8926596,-95.0403417
COMI,Albergue,17.0634243,-96.7344282
Diócesis de Coatzacoalcos,Albergue,18.1267827,-94.4515469
Mons. Guillermo Ranzahuer,Albergue,17.9326714,-94.9017573
Decanal Guadalupano,Albergue,18.4373695,-96.3491559
Comedor Las Patronas,Comedor,18.8244371,-96.9232991
La Sagrada Familia,Albergue,19.4173196,-98.1316175
Casa de Atención a Desamparados,Albergue,19.0724433,-98.21049
Parroquia de la Asunción,Albergue,19.0629875,-98.2280542
San Felipe Hueyotlipan,Albergue,19.0862736,-98.2116362
Casa Tochán,Albergue,19.3983709,-99.1949275
Casa de los Amigos,Albergue,19.4381105,-99.1545271
Casa Mambré,Albergue,19.450889,-99.136694
CAFEMIN,Albergue,19.463706,-99.1302244
Un Oasis en Medio del Camino,Albergue,19.9778829,-99.1829096
San Juan Diego,Albergue,19.8433522,-99.1909054
Casa del Peregrino Migrante,Albergue,20.3685143,-99.6923611
Comedor El Samaritano,Comedor,20.0463236,-99.2416682
González y Martínez,Albergue,20.5091637,-99.8629694
CAMMI,Comedor,20.6012122,-100.3847198
ABBA,Albergue,20.5410665,-100.8018514
Manos Extendidas,Albergue,20.5275921,-100.8030577
San Carlos Borromeo,Albergue,20.555229,-101.201472
San Juan de Dios,Albergue,20.6999054,-101.3497854
Galilea,Albergue,21.1079366,-101.6835742
Casa de la Caridad Hogar del Migrante,Albergue,22.1647841,-100.9701881
Casa del Migrante Saltillo,Albergue,25.4040977,-101.0248526
Centro de Día Jesús Torres,Albergue,25.4985795,-103.3996323
Posada del Peregrino Cáritas de Torreón,Albergue,25.5398529,-103.3974238
