id_municipio,nom_municipio,nom_estado,fecha_registro,robos,secuestros,grado
1001,Aguascalientes,Aguascalientes,2025-05-01,494.0,0.0,Alto
1001,Aguascalientes,Aguascalientes,2025-06-01,448.0,0.0,Alto
1001,Aguascalientes,Aguascalientes,2025-07-01,445.0,0.0,Alto
1002,Asientos,Aguascalientes,2025-05-01,5.0,0.0,Bajo
1002,Asientos,Aguascalientes,2025-06-01,7.0,0.0,Bajo
1002,Asientos,Aguascalientes,2025-07-01,7.0,0.0,Bajo
1003,Calvillo,Aguascalientes,2025-05-01,7.0,0.0,Bajo
1003,Calvillo,Aguascalientes,2025-06-01,8.0,0.0,Bajo
1003,Calvillo,Aguascalientes,2025-07-01,7.0,0.0,Bajo
1004,Cosío,Aguascalientes,2025-05-01,5.0,0.0,Bajo
1004,Cosío,Aguascalientes,2025-06-01,7.0,0.0,Bajo
1004,Cosío,Aguascalientes,2025-07-01,4.0,0.0,Bajo
1005,Jesús María,Aguascalientes,2025-05-01,56.0,0.0,Bajo
1005,Jesús María,Aguascalientes,2025-06-01,66.0,0.0,Bajo
1005,Jesús María,Aguascalientes,2025-07-01,66.0,0.0,Bajo
1006,Pabellón de Arteaga,Aguascalientes,2025-05-01,16.0,0.0,Bajo
1006,Pabellón de Arteaga,Aguascalientes,2025-06-01,15.0,0.0,Bajo
1006,Pabellón de Arteaga,Aguascalientes,2025-07-01,19.0,0.0,Bajo
1007,Rincón de Romos,Aguascalientes,2025-05-01,15.0,0.0,Bajo
1007,Rincón de Romos,Aguascalientes,2025-06-01,14.0,0.0,Bajo
1007,Rincón de Romos,Aguascalientes,2025-07-01,16.0,0.0,Bajo
1008,San José de Gracia,Aguascalientes,2025-05-01,2.0,0.0,Bajo
1008,San José de Gracia,Aguascalientes,2025-06-01,5.0,0.0,Bajo
1008,San José de Gracia,Aguascalientes,2025-07-01,4.0,0.0,Bajo
1009,Tepezalá,Aguascalientes,2025-05-01,5.0,0.0,Bajo
1009,Tepezalá,Aguascalientes,2025-06-01,4.0,0.0,Bajo
1009,Tepezalá,Aguascalientes,2025-07-01,2.0,0.0,Bajo
1010,El Llano,Aguascalientes,2025-05-01,4.0,0.0,Bajo
1010,El Llano,Aguascalientes,2025-06-01,8.0,0.0,Bajo
1010,El Llano,Aguascalientes,2025-07-01,3.0,0.0,Bajo
1011,San Francisco de los Romo,Aguascalientes,2025-05-01,16.0,0.0,Bajo
1011,San Francisco de los Romo,Aguascalientes,2025-06-01,18.0,0.0,Bajo
1011,San Francisco de los Romo,Aguascalientes,2025-07-01,13.0,0.0,Bajo
2001,Ensenada,Baja California,2025-05-01,237.0,0.0,Medio
2001,Ensenada,Baja California,2025-06-01,179.0,0.0,Medio
2001,Ensenada,Baja California,2025-07-01,199.0,0.0,Medio
2002,Mexicali,Baja California,2025-05-01,419.0,0.0,Alto
2002,Mexicali,Baja California,2025-06-01,431.0,0.0,Alto
2002,Mexicali,Baja California,2025-07-01,431.0,0.0,Alto
2003,Tecate,Baja California,2025-05-01,47.0,0.0,Bajo
2003,Tecate,Baja California,2025-06-01,49.0,0.0,Bajo
2003,Tecate,Baja California,2025-07-01,58.0,0.0,Bajo
2004,Tijuana,Baja California,2025-05-01,692.0,0.0,Alto
2004,Tijuana,Baja California,2025-06-01,681.0,0.0,Alto
2004,Tijuana,Baja California,2025-07-01,736.0,0.0,Alto
2005,Playas de Rosarito,Baja California,2025-05-01,66.0,0.0,Bajo
2005,Playas de Rosarito,Baja California,2025-06-01,60.0,0.0,Bajo
2005,Playas de Rosarito,Baja California,2025-07-01,81.0,0.0,Bajo
2006,San Quintín,Baja California,2025-05-01,17.0,0.0,Bajo
2006,San Quintín,Baja California,2025-06-01,13.0,0.0,Bajo
2006,San Quintín,Baja California,2025-07-01,22.0,0.0,Bajo
2007,San Felipe,Baja California,2025-05-01,7.0,0.0,Bajo
2007,San Felipe,Baja California,2025-06-01,4.0,0.0,Bajo
2007,San Felipe,Baja California,2025-07-01,9.0,0.0,Bajo
3001,Comondú,Baja California Sur,2025-05-01,21.0,0.0,Bajo
3001,Comondú,Baja California Sur,2025-06-01,9.0,0.0,Bajo
3001,Comondú,Baja California Sur,2025-07-01,12.0,0.0,Bajo
3002,Mulegé,Baja California Sur,2025-05-01,16.0,0.0,Bajo
3002,Mulegé,Baja California Sur,2025-06-01,15.0,0.0,Bajo
3002,Mulegé,Baja California Sur,2025-07-01,17.0,0.0,Bajo
3003,La Paz,Baja California Sur,2025-05-01,183.0,0.0,Medio
3003,La Paz,Baja California Sur,2025-06-01,170.0,0.0,Medio
3003,La Paz,Baja California Sur,2025-07-01,169.0,0.0,Medio
3008,Los Cabos,Baja California Sur,2025-05-01,217.0,0.0,Medio
3008,Los Cabos,Baja California Sur,2025-06-01,191.0,0.0,Medio
3008,Los Cabos,Baja California Sur,2025-07-01,220.0,0.0,Medio
3009,Loreto,Baja California Sur,2025-05-01,3.0,0.0,Bajo
3009,Loreto,Baja California Sur,2025-06-01,9.0,0.0,Bajo
3009,Loreto,Baja California Sur,2025-07-01,5.0,0.0,Bajo
4001,Calkiní,Campeche,2025-05-01,0.0,0.0,Bajo
4001,Calkiní,Campeche,2025-06-01,2.0,0.0,Bajo
4001,Calkiní,Campeche,2025-07-01,1.0,0.0,Bajo
4002,Campeche,Campeche,2025-05-01,22.0,0.0,Bajo
4002,Campeche,Campeche,2025-06-01,13.0,1.0,Bajo
4002,Campeche,Campeche,2025-07-01,11.0,0.0,Bajo
4003,Carmen,Campeche,2025-05-01,7.0,0.0,Bajo
4003,Carmen,Campeche,2025-06-01,13.0,0.0,Bajo
4003,Carmen,Campeche,2025-07-01,9.0,0.0,Bajo
4004,Champotón,Campeche,2025-05-01,4.0,0.0,Bajo
4004,Champotón,Campeche,2025-06-01,7.0,0.0,Bajo
4004,Champotón,Campeche,2025-07-01,1.0,0.0,Bajo
4005,Hecelchakán,Campeche,2025-05-01,4.0,0.0,Bajo
